기사id,카테고리,제목,날짜,요약문,원문
87,NULL,국립국어원 표준국어대사전 업데이트 📖,2021/08/04,"이처럼 우리가 무심코 써 오던 말들에도 생각하지 못했던 차별적인 요소나 편견이 담겨 있을 수 있는데요. 국립국어원은 국가인권위원회가 고쳐 달라고 요구하는 내용과 국민 의견을 바탕으로 표준국어대사전 내용을 이렇게 분기마다 수정하고 있어요. 우리 사회가 변하는 만큼, 사전도 달라지는 거예요.",https://stdict.korean.go.kr/notice/noticeList.do
88,NULL,올림픽 종목 바뀌는 이유,2021/08/04,"원래 올림픽 종목은 인기가 없으면 퇴출되고, 인기가 있으면 새로 만들어져요 👀. 1900년 파리올림픽에는 날아가는 비둘기를 쏴 맞히는 비둘기 사격이 있었는데 너무 잔인해 사라졌고요. 인기 없던 골프는 112년 만에 2016년 리우올림픽에서 부활했어요 🏌️. 도쿄올림픽부터 적용된 새로운 규칙이 있어요: “올림픽 개최하는 나라가 새로운 종목을 제안할 수 있다!” 국제올림픽위원회(IOC)가 지난 2014년 ‘어젠다 2020’라는 중장기 계획을 냈는데, 개최국이 기존 28개 종목(세부종목 300개)에 몇 가지를 더할 수 있게 한 것. 아무 스포츠나 되는 건 아니고, IOC가 인정한 국제연맹의 종목이어야 하는데요. 공식 종목이 되더라도 다음 개최국과 IOC 의지에 따라 다시 없어질 수도 있어요.",https://news.sbs.co.kr/news/endPage.do?news_id=N1003668333
88,NULL,올림픽 종목 바뀌는 이유,2021/08/04,"맞아요. 5가지 종목이 새로 들어갔어요: 서핑🏄·스케이트보드🛹·스포츠 클라이밍🧗 ·가라테🥋·야구-소프트볼⚾. 일본은 이렇게 설명했는데요: 클라이밍·스케이트보드·서핑은 전 세계에서 젊은 층에게 인기 있어서, 가라테는 일본의 전통 무술이라서, 야구는 일본에서 인기가 많아서 (2008년 베이징올림픽 이후) 13년 만에 부활시킨 것. 2가지 세부종목도 추가됐는데요. 바로 '길거리 농구'라 불리는 3x3 농구와 '묘기 자전거'로 알려진 BMX 프리스타일(사이클)이에요. 한편 다음 2024 파리올림픽에서는 야구가 다시 빠진다고. (🦔고슴이: 올림픽 공식 종목 첫 경기에 출전한 우리나라 선수들 대단하슴!) ",https://www.yna.co.kr/view/AKR20210628156600007
88,NULL,올림픽 종목 바뀌는 이유,2021/08/04,맞아요. 앞의 종목과 마찬가지로 젊은 층이 올림픽에 관심을 갖게 하려는 의도라고. 새로운 올림픽 종목이 생긴다는 소식에 관절 좀 꺾어본 우리나라 비보이·비걸 사이에서는 국가대표를 어느 단체가 뽑을지 논쟁 중이고요.,https://www.hani.co.kr/arti/sports/sports_general/992185.html
88,NULL,올림픽 종목 바뀌는 이유,2021/08/04,"아직은 아니에요. 지난 2019년, 펜싱 종주국*인 프랑스의 펜싱 협회는 영화 <스타워즈>에 등장하는 광선검(라이트 세이버)을 에페·플뢰레·사브르와 같은 펜싱 세부종목으로 인정했는데요 🤺. 올림픽 공식 종목으로 인정될 수 있도록 움직이고 있지만, 아직 IOC가 2024년 올림픽 종목으로 승인하지는 않았다고.",https://news.kbs.co.kr/news/view.do?ncd=4145641
88,NULL,올림픽 종목 바뀌는 이유,2021/08/04,"도쿄올림픽에서 우리나라의 첫 금메달을 기록한 안산·김제덕 선수의 양궁 혼선 경기, 사실 이번에 처음 열렸어요. IOC가 성평등을 강조하면서 생긴 2가지 변화 중 하나인데요: ​​①개회식 때 205개 참가팀 모두 남녀기수가 같이 입장하고, ②여성 선수의 참가를 늘리기 위해 혼성 경기를 늘렸어요. 수영🏊·탁구🏓 등의  혼성전이 추가돼 리우올림픽 때는 9개였던 혼성 종목이 18개로 늘었다고. (참고로) 1896년 첫 올림픽 때는 여자 선수가 아예 참가할 수 없었는데, 2024 파리올림픽에서는 남녀 선수 성비를 50:50으로 맞추는 걸 목표로 하고 있어요.",https://www.hani.co.kr/arti/sports/sportstemp/1006083.html
89,세계,뉴질랜드의 인종차별 과거사 사과,2021/08/04,뉴질랜드 정부가 태평양 섬나라 출신 이민자들만 골라 마구잡이로 쫓아낸 적 있거든요. ,https://www.stuff.co.nz/national/politics/125524870/the-dawn-raids-explained-what-drove-the-government-to-target-pasifika-people
89,세계,뉴질랜드의 인종차별 과거사 사과,2021/08/04,"1974년부터 시작된 이민자 추방은 약 10년 동안 계속됐는데요. 단속에 나선 경찰들이 사나운 개를 데리고 새벽에 집에 들이닥치면 이민자들은 준비도 없이 길거리로 나앉아야 했다고. 지난 1일, 뉴질랜드 저신다 아던 총리가 정부를 대표해 과거에 있었던 이런 일을 인정하고 사과했어요.",https://www.yna.co.kr/view/AKR20210802067700009
90,여성,안산 선수를 겨냥한 온라인 공격,2021/08/02,시작은 안산 선수 인스타그램에 달린 댓글이었어요. ,https://www.ytn.co.kr/_ln/0103_202108090949314238
90,여성,안산 선수를 겨냥한 온라인 공격,2021/08/02,해당 이슈가 뜨거워지면서 여기저기서 한 마디씩 덧붙이고 있어요. ,https://news.jtbc.joins.com/article/article.aspx?news_id=NB12018185
90,여성,안산 선수를 겨냥한 온라인 공격,2021/08/02,"‘웅앵웅’은 웅얼거리는 걸, ‘오조오억’은 엄청 많다는 걸 뜻하는 유행어예요. ‘웅앵웅’은 한 트위터 이용자가 한국영화 음향에서 대사가 잘 들리지 않는다는 점을 비판하며 사용하기 시작했어요. 이후 토마스 오도넬이라는 할리우드 배우가 글자모양이 이쁘다며 ‘웅앵웅’을 공유해 유행어가 됐고요.  ‘오조오억’은 지난 2017년 한 아이돌 팬이 자신이 좋아하는 아이돌에게 ‘우리 00이는 10점 만점에 오조오억점’이라고 칭찬하며 유행하기 시작했어요. ",https://newsis.com/view/?id=NISX20210420_0001413064
91,코로나19,18~49세 코로나19 백신 접종 계획 💉,2021/08/02,접종은 26일부터 다음달까지 하는데요. 자세한 예약 일정을 보면 📅:,https://www.mk.co.kr/news/politics/view/2021/07/739897/
91,코로나19,18~49세 코로나19 백신 접종 계획 💉,2021/08/02,어디서: 질병관리청 예약사이트에서 저녁 8시~다음 날 오후 6시까지.,https://ncvr.kdca.go.kr/
91,코로나19,18~49세 코로나19 백신 접종 계획 💉,2021/08/02,"택배노동자 등 우선적으로 접종이 필요한 약 200만 명은 더 빨리 맞을 수 있어요 ⚡. 이번 주(수도권: 3일, 비수도권: 4일, 전국: 5~6일)에 예약받고 17일~9월 11일에 맞는데, 누가 대상이냐면:",https://www.yna.co.kr/view/AKR20210731042800530
91,코로나19,18~49세 코로나19 백신 접종 계획 💉,2021/08/02,"사실 이 모든 건 백신이 계획대로 들어올 때의 얘기라 달라질 수 있어요 🧐. 정부는 들어오기로 한 백신이 충분하다고 했지만, 백신이 들어오는 일정이 계획보다 늦어질 수도 있거든요. 만약 계획한 대로 1차 접종이 완료되면, 4분기에는 18세 미만의 청소년과 임신부도 맞히고, 아스트라제네카·얀센 접종자부터 3차 접종(부스터샷)하는 걸 검토 중이고요.",https://www.dongascience.com/news.php?idx=48371
92,경제,인앱결제 논란의 (거의) 모든 것,2021/08/02,"수수료 때문이에요. 우리가 앱에서 이런 디지털 콘텐츠·서비스를 구매하거나 게임 아이템을 바로 결제(=인앱결제)하면, 앱 시장을 관리하는 구글·애플이 최대 30%를 수수료로 가져가거든요. 앱을 만든 회사(개발사) 입장에서는 홈페이지와 앱에서 똑같이 1만 원짜리 이용권을 팔아도, 홈페이지에서는 1만 원을 벌지만 앱에서는 7000원 밖에 못 버는 건데요. 그래서 줄어드는 수익만큼 더 벌어야 하는 앱 개발사에서는 인앱결제 가격을 더 올리는 거예요. 이용자들은 그 부담을 떠안게 되고요.",https://www.mk.co.kr/news/business/view/2021/07/720644/
92,경제,인앱결제 논란의 (거의) 모든 것,2021/08/02,"지금까지는 그런 방법이 통하기도 했지만, 앞으로는 어려워질 수 있어요. 우리나라에서 가장 많은 사람이 쓴다는 플레이스토어를 관리하는 구글이 게임 앱뿐만 아니라 디지털 콘텐츠·서비스를 판매하는 모든 앱 안에서는 인앱결제만 쓰도록 정책을 바꾸겠다고 했기 때문(인앱결제 의무화). 지금까지는 홈페이지 등 자체 결제(앱 외부결제) 수단으로 안내하는 링크를 앱에 넣을 수 있었는데, 앞으로는 금지되는 거예요. 이용자가 홈페이지 등에서 직접 결제하도록 개발사가 앱을 만들 수는 있지만, 그럴 경우 인앱결제 기능은 넣을 수 없고요. 둘 중 하나를 선택해야 하는 것.",https://zdnet.co.kr/view/?no=20200929082030
92,경제,인앱결제 논란의 (거의) 모든 것,2021/08/02,"앱 개발사들은 반발하고 있어요: “수수료 부담이 늘어나면 결국 가격을 올릴 수밖에 없어서 소비자 부담 커져!” 개발사 입장에선 구글의 이런 정책을 거부하기 어려운데요. 게임 앱 ‘포트나이트’ 사례처럼, 다른 방식의 결제를 유도했다가는 앱이 플레이스토어에서 아예 삭제될 수도 있거든요.",https://biz.chosun.com/site/data/html_dir/2020/08/14/2020081401502.html
93,NULL,체조 선수 시몬 바일스의 기권,2021/07/30,"역사상 최고의 기계체조 선수로 꼽혀요. 아무도 못 하는 난이도 높은 기술을 소화하거든요. 체조에서는 처음으로 선보이는 기술을 성공시키면, 기술의 이름에 그 선수의 이름을 붙이는데요. 보통은 이런 기술이 하나만 있어도 대단한 선수라고 하는데, 바일스는 도마·평균대·마루에서 자기 이름을 딴 기술을 혼자 4개나 가지고 있어요. 그중 3개는 워낙 어려워서 아직 아무도 따라 하지 못했다고. “세계선수권대회에서 가장 많은 메달을 딴 체조 선수”라는 기록도 가지고 있고, 지난 올림픽에서는 금메달을 4개나 땄어요. 이런 선수다 보니, 이번 도쿄올림픽에서도 모두가 금메달을 딸 거라고 기대했는데요. 그런데 지난 27일, 첫 경기를 마친 뒤 갑작스럽게 발표를 했어요. 남은 경기는 기권한다고요.",https://www.huffingtonpost.kr/entry/story_kr_5d997553e4b099389800fac5
93,NULL,체조 선수 시몬 바일스의 기권,2021/07/30,"큰 심리적 부담을 느꼈다고 고백했어요: “때로는 어깨에 온 세상의 짐을 진 것처럼 느껴져. 아무렇지 않은 척 털어내지만 나도 가끔 힘들어.” 바일스는 미국 올림픽 대표선수단을 대표하는 최고의 스타라, 쏟아지는 관심이 엄청난 만큼 압박감이 어마어마했을 거라고. 코로나19 때문에 선수들이 그 어느 올림픽보다 힘겹게 대회를 치르고 있다는 분석도 있는데요. 올림픽이 1년 미뤄지는 바람에 준비 일정이 꼬였고, 국제 대회도 제대로 열리지 못해 실전 경험이 부족했기 때문. 이번 올림픽은 무관중으로 치러져 가족이나 관중의 응원 없이 외롭게 경기를 치러야 하고요.",https://www.instagram.com/p/CRxsq_kBZrP/
93,NULL,체조 선수 시몬 바일스의 기권,2021/07/30,"동료 선수는 물론, 다른 나라 선수들도 한목소리로 바일스를 응원하고 있어요 💪: “안 괜찮다고 용기 있게 말해줘서 고마워.” 예전 같으면 ‘정신적으로 나약하다’는 비판이 나왔을 법도 한데, 오히려 선수의 결정을 지지하는 사람들의 모습에 이제는 시대가 달라졌다는 얘기가 나와요. 실제로 2004 아테네올림픽 때 호주 조정 선수 샐리 로빈슨은 불안증세를 호소하며 결승전을 포기했다가, 언론과 동료 선수로부터 ‘패배자’라는 조롱에 시달렸던 적도 있거든요. 최근 몇 년 사이에 정신건강 문제를 공개적으로 이야기하는 선수가 늘어난 게 사람들의 인식을 바꾸는 데 영향을 미친 것 같다고. ",https://www.bbc.com/korean/international-57995409
94,국내정치,4차 남북정상회담 개최 논의 🇰🇷🇰🇵,2021/07/30,"남북관계, 갑자기 분위기 정상회담 됐어요. 코로나19 팬데믹 이후 북한이 철저히 국경을 닫으면서 우리나라와도 교류가 뜸했잖아요(남북관계 일지). 그런데 눈 감았다 떠 보니, 남북이 정상회담을 준비 중이라는 얘기가 나오고 있어요 🇰🇷🇰🇵.",https://file.mk.co.kr/meet/neds/2021/07/image_readmed_2021_725420_16273975314731586.jpg
94,국내정치,4차 남북정상회담 개최 논의 🇰🇷🇰🇵,2021/07/30,"끊어졌던 전화선이 다시 연결됐거든요 ☎️🔗. 남북 사이에는 연락을 주고받을 수 있는 통신 연락선이 몇 가지 있어요(예: 한국군-북한군 통신선, 정상 간 직통전화 ‘핫라인’ 등). 작년 6월, 북한은 탈북민들이 북한을 비판하는 전단(=대북 전단) 뿌리는 걸 트집 잡으면서 연락선을 끊어버렸어요. 또 개성에 남북이 같이 머물던 남북공동연락사무소는 아예 폭파해버렸는데요. 약 1년 만인 지난 27일, 통일부와 군 통신선이 다시 연결됐어요. 평일 오전·오후에 정기적으로 통화하기로 했다고. 그게 다가 아니에요. “남북이 정상회담과 연락사무소 재건을 준비 중”이라는 외신 보도(영문)가 나오면서 갑분정상회담 된 것 👀. ",https://news.sbs.co.kr/news/endPage.do?news_id=N1006408041
94,국내정치,4차 남북정상회담 개최 논의 🇰🇷🇰🇵,2021/07/30,"일단 청와대는 그런 얘기 한 적 없다고 부인했어요 🙅. 하지만 확실한 건 문재인 대통령과 김정은 국무위원장이 지난 4월부터 몇 차례 편지를 주고받았고, 다시 사이좋게 지내자고 합의했다는 것. 현재 북한은 코로나19로 국경을 닫은 이후 외부 물건이 못 들어오면서 주민 생활 상태가 안 좋아졌고 📉, 백신도 아직 없어 외부의 도움이 필요한 상황인데요 😷. 코로나19 상황이 심각하다보니 화상으로 정상회담 하지 않겠냐는 예측이 나오고 있어요.",https://www.hani.co.kr/arti/society/society_general/1005605.html
95,경제,홍남기 부총리의 부동산 담화 🏠,2021/07/30,"요새 집값을 보면 한숨만 나오잖아요. 내 집 마련은커녕 전세 구하기도 힘든데요. 출렁이는 부동산 시장에 대해 정부 대표로 홍남기 부총리가 한마디했는데, 그걸 들은 사람들이 잔뜩 화가 났어요 🤬.   ",https://www.hankookilbo.com/News/Read/A2021072816140003053
95,경제,홍남기 부총리의 부동산 담화 🏠,2021/07/30,"주택 공급에 문제가 좀 생겼다며: 정부는 작년부터 적극적으로 땅을 개발해서 더 많은 주택을 만들겠다고 약속했었는데요(8·4대책, 2·4대책). 개발하겠다고 밝힌 곳 중 일부에서는 주민과 지자체가 개발에 반대하는 등의 이유로 협의에 시간이 걸리고 있어, 약속한 만큼 공급하지 못할 수도 있다고. 정부가 개발할 수 있는 다른 땅을 알아보고 있지만 쉽지 않다고 하고요.",https://www.yna.co.kr/view/AKR20210728003000003
96,여성,올림픽 ‘성차별’에 저항한 독일 대표팀,2021/07/28,"뉴니커! 도쿄올림픽 잘 즐기고 있어요? 양궁, 탁구, 펜싱... 종목을 가리지 않고 날아다니는 우리 대표팀 덕분에 흥이 절로 나는 요즘이죠. 한편, 체조경기장에서는 뜻밖의 장면이 연출됐는데요. 바로 독일 여자 기계체조 대표팀이 하반신을 발목까지 덮는 유니폼을 입고 나온 거예요(사진).",https://image.ytn.co.kr/general/jpg/2021/0726/202107261042011882_d.jpg
96,여성,올림픽 ‘성차별’에 저항한 독일 대표팀,2021/07/28,"체조, 수영, 육상 등 노출 많은 유니폼을 입는 여자 선수들이 불법 촬영의 타깃이 되어오기도 했다는 지적도 나와요. 독일 대표팀은 이런 성차별적 관행을 깨기 위한 선택을 한 거고요.",https://www.hani.co.kr/arti/society/women/1005151.html#csidx769efc76bf12a69b43d736b11c73f86
96,여성,올림픽 ‘성차별’에 저항한 독일 대표팀,2021/07/28,"모든 스포츠 경기에서 다 되는 건 아니에요. 정해진 규정을 어겼다가 처벌을 받을 수 있거든요. 올해 열린 유럽비치핸드볼선수권대회에서 노르웨이 여자 선수들은 원래 입는 비키니 하의 수영복 대신 반바지를 입었는데요. 경기가 끝난 후 유럽핸드볼연맹은 ‘의상이 부적절했다’는 이유로 선수들에게 총 1500유로(약 200만 원)의 벌금형을 내렸어요: “비치핸드볼 경기 규정상 여자 선수들은 시합할 때 비키니만 입어야 하고, 하의는 길이 10cm를 넘지 않아야 해!” 이 규정은 여러 해에 걸쳐서 성차별적이라는 지적을 받아왔어요. 남자 선수는 무릎 위 10cm까지 내려온 반바지를 입어도 되거든요.",https://news.joins.com/article/24109880
96,여성,올림픽 ‘성차별’에 저항한 독일 대표팀,2021/07/28,"노르웨이의 경우, 핸드볼협회가 선수들의 벌금을 대신 내기로 했고, 미국의 팝스타 ‘핑크’도 벌금을 대신 내겠다고 나섰어요. 선수들이 편하게 느끼는 유니폼을 입을 수 있어야 한다는 것이 이들의 주장이고요. ‘평화롭고 더 나은 세계의 실현에 공헌하자’는 올림픽 정신을 지키기 위해서라도, 선수들이 스포츠 경기에 더 자유롭고 ‘자기다운’ 모습으로 임할 수 있도록 하는 시도와 규칙이 뒷받침되어야 한다는 목소리가 나와요. ",https://www.mk.co.kr/news/world/view/2021/07/722765/
97,코로나19,코로나19 백신 접종 현황 💉,2021/07/28,"그동안 백신 확보 제대로 된 것 맞냐고 말이 많았는데요. 현재는 충분해요. 우리나라 인구가 약 5200만 명이라 2회 접종을 고려하면 최소 1억 400만 회분이 필요한데요. 도입이 확정된 백신은 현재 약 1억 9300만 회분으로, 국민 모두가 접종할 수 있는 분량보다 더 많이 확보했어요. 도입이 확정된 백신 중 10%가 넘는 약 2500만 회분은 이미 들어온 상태고, 나머지는 올 하반기에 공급될 예정이고요. 얀센을 비롯해 모더나, 화이자, 아스트라제네카(AZ), 노바백스 등 다양한 종류가 들어올 예정이라고.",https://www.yna.co.kr/view/AKR20210727113051530
97,코로나19,코로나19 백신 접종 현황 💉,2021/07/28,"들어오기로 한 물량은 충분하지만, 일정이 좀 늦어지고 있거든요. 7월 26일부터 접종이 시작된 55~59세 접종 대상자는 원래 맞기로 했던 모더나가 아니라 화이자 백신을 맞게 됐어요. 7월 중으로 공급한다던 모더나 백신 일부가 생산과정에 문제가 생겨서 8월로 미뤄졌기 때문. ",https://www.news1.kr/articles/?4384238
97,코로나19,코로나19 백신 접종 현황 💉,2021/07/28,"정부는 18세~49세 접종은 8월부터 시작할 계획이라고 밝혔는데요. 자세한 내용은 모레(30일) 발표될 예정이에요. 원래 18~49세는 연령 구분 없이 희망자 순으로 접종하려 했는데요. 모더나 공급이 미뤄지는 등 백신 수급 일정에 차질이 생겨, 기존에 했던 것처럼 20대·30대·40대로 나눠 접종할 가능성이 높다고.",https://www.ytn.co.kr/_ln/0103_202107271340011810
97,코로나19,코로나19 백신 접종 현황 💉,2021/07/28,"현재 접종 대상자가 아니더라도 예약자가 접종하러 오지 않아 남은 백신을 카카오·네이버에서 예약하면 맞을 수 있는데요. 아직 정확한 접종 일정이 나오지 않은 탓인지 많은 사람들이 쏠려, “대신 예약해 주면 사례금 준다”는 경우도 생기고 있다고.",https://www.seoul.co.kr/news/newsView.php?id=20210723500036
98,세계,튀니지의 혼란 🇹🇳,2021/07/28,"2011년, 북아프리카와 중동에서 있었던 민주화 시위예요. 시작은 노점에서 과일을 팔던 한 튀니지 청년이 경찰 단속에 항의하다가 자기 몸에 불을 붙인 사건이었는데요. 이를 계기로 쌓였던 시민들의 불만이 폭발해 튀니지에서 반정부 시위가 크게 일어났어요. 결국 23년 동안 독재를 했던 대통령이 물러났고요. 독재·경제난·부정부패 등 비슷한 문제를 가지고 있던 이집트·예멘·리비아 등 이웃나라로도 시위가 번졌어요: “우리도 독재 무너뜨리자!” 하지만 이후에도 다른 나라에서는 독재 정부가 다시 정권을 잡거나(이집트) 내전이 계속됐는데요(리비아·시리아·예멘 등). 튀니지는 유일하게 민주주의가 그나마 유지되는 나라였어요. 헌법도 고치고, 대통령도 국민들이 직접 뽑을 수 있게 된 것.",https://news.joins.com/article/23947707
98,세계,튀니지의 혼란 🇹🇳,2021/07/28,"튀니지 민주주의가 위기에 처했다는 말이 나와요. 대통령이 총리를 해임하고 의회 문을 닫아버렸기 때문인데요. 튀니지는 대통령이 국방·외교 등 바깥 일을 맡고 총리는 행정 등 나라 안의 일을 책임지는데(=이원집정부제), 시민들은 총리와 총리가 속해있는 야당을 비판하며 시위를 해왔어요 😡: “먹고 살기 힘들었는데 코로나19 때문에 더 어려워졌어! 방역 실패했으니 총리가 책임져!” 시위가 격해지자 대통령은 시민들의 불만을 누그러뜨리기 위해 총리를 해임한 건데요. 야간 통행금지·집회 금지 등의 조치도 발표해서, 일부에서는 시위는 핑계고 사실은 권력을 독차지하려는 의도가 아니냐는 목소리가 나와요. 다시 독재가 시작될까 걱정하는 사람들도 있고요.",https://news.joins.com/article/24115096
100,코로나19,코로나19 백신 부스터샷의 (거의) 모든 것,2021/07/26,"미국이 ‘부스터샷’ 놓는 걸 진지하게 고민 중이에요. 부스터샷은 코로나19 백신을 추가로 한 번 더 놓는 건데, 쉽게 말해 우리 몸한테 바이러스 공격 더 잘 막아내라고 부스터를 달아주는 거예요 💨. ",https://www.yna.co.kr/view/AKR20210725001000072
100,코로나19,코로나19 백신 부스터샷의 (거의) 모든 것,2021/07/26,"면역효과 언제까지 갈지 몰라 🧐: 백신을 맞거나 코로나19에 감염됐다 회복하면 우리 몸에는 ‘중화항체’가 생기는데요. 이게 면역효과에 중요한 요소 중 하나거든요. 근데 시간이 지나면 중화항체가 줄어드니까, 부스터샷으로 중화항체를 다시 늘려 면역효과를 더 오래 가게 하려는 거예요.",https://www.yna.co.kr/view/AKR20210324153800009
100,코로나19,코로나19 백신 부스터샷의 (거의) 모든 것,2021/07/26,"델타 변이 유행이라 불안해 🙄: 우리나라에도 얀센 백신 맞은 사람 꽤 있잖아요. 얀센 백신은 한 번 맞으면 끝이다 보니, 화이자나 모더나 백신을 한 번 더 맞아 부스터해야 하는 거 아니냐는 걱정이 있었어요. 게다가 요즘 델타 변이가 유행이라, 불안해서 한 번 더 맞겠다는 사람도 있고요.",https://www.reuters.com/business/healthcare-pharmaceuticals/booster-may-be-needed-jj-shot-delta-variant-spreads-some-experts-already-taking-2021-06-25/
100,코로나19,코로나19 백신 부스터샷의 (거의) 모든 것,2021/07/26,"최근 이스라엘이 세계 최초로 면역력 낮은 사람들에게 부스터샷을 접종하기 시작했어요. 미국도 비슷한 방법으로 부스터샷을 놓는 걸 검토하며 화이자 백신 2억 회 분을 추가로 샀고요. 우리나라는 다른 나라 상황을 더 지켜보다가 부스터샷을 놓을지 말지 검토할 예정인데요. 너무 느긋한 거 아니냐고요? 우리나라의 경우 2차 접종까지 끝낸 사람이 아직 전체 인구의 15%도 안 돼서, 부스터샷보다는 백신 접종률을 높이는 데 집중해야 해서 그렇다고. ",https://www.khan.co.kr/national/health-welfare/article/202107222124005
101,코로나19,2021년 2차 추경 통과와 재난지원금 💰,2021/07/26,요즘 전국적으로 사회적 거리두기가 강하게 적용되고 있죠? 저녁에는 아예 장사를 접어야 할 판이라는 사장님들도 많은데요. 코로나19로 고생하는 국민과 소상공인에게 지원금을 주기 위해 국회가 지난 24일 추가경정예산안을 통과시켰어요. ,https://www.chosun.com/politics/assembly/2021/07/24/M7W5YOYCNFAXXEQEB6EKR2C2NM/
101,코로나19,2021년 2차 추경 통과와 재난지원금 💰,2021/07/26,"소득 하위 88%에게 1인당 25만 원씩 줘요 💵. 처음 논의하던 하위 80%에 8% 추가된 건데요. 건강보험료를 기준으로 따져보면, 1인 가구 기준으로 연 소득 5000만 원 미만이면 받을 수 있어요. 이번 지원금은 8월 말쯤부터, 신용·체크카드나 상품권으로 골라 받을 수 있고요 💳. ",https://www.yna.co.kr/view/AKR20210724005600002
101,코로나19,2021년 2차 추경 통과와 재난지원금 💰,2021/07/26,맞아요. 다음 달 17일부터 소상공인 약 178만 명에게 희망회복자금으로 총 4.2조 원이 풀리는데요. 최대 2000만 원까지 받을 수 있어요. 정부의 방역 조치로 가게 문을 닫았는지 여부와 매출 규모에 따라 지원 금액이 달라지고요. 방역 대상은 아니었어도 코로나19로 매출이 줄었다면 최대 400만 원까지 받을 수 있어요. 올해 7월부터 발생한 손해는 10월부터 손실보상금으로 따로 받을 수 있고요.,https://www.news1.kr/articles/?4382679
101,코로나19,2021년 2차 추경 통과와 재난지원금 💰,2021/07/26,"최대 2000만 원이지만, 실제로 그만큼 받는 곳은 많지 않거든요. 2000만 원을 받으려면 연 매출이 4억 원 이상에 집합금지 업종이어야 하는데, 이런 조건을 다 충족시키는 곳은 대형 유흥업소 등 일부에 한정될 가능성이 높아요(3000명 정도 예상). 이런 가게들은 매출이 100만 원만 줄어도 지원금으로 2000만 원을 받을 수 있지만, 규모가 작은 식당은 매출이 반 토막 나도 250~400만 원 정도밖에 못 받게 되고요. 그래서 몇몇 소상공인은 실제 수익인 순수익이 얼마나 줄었는지를 따져서 지원금을 줘야 하는 것 아니냐고 비판해요 😔.",https://www.yna.co.kr/view/AKR20210725025900030
102,환경,도쿄올림픽 친환경 시도와 논란,2021/07/26,논란 많은 도쿄올림픽에서도 가장 큰 논란인 골판지 침대(사진). 선수들 사이에서 ‘성관계 못 하게 하려고 만든 침대’라는 말까지 나오며 조롱받고 있는데요. 사실 약간 오해가 있다고.,https://media.npr.org/assets/img/2021/07/08/ap21171288034287-6443a035ce1f96a363c681b48dba0f85314c15dd-s1600-c85.webp
102,환경,도쿄올림픽 친환경 시도와 논란,2021/07/26,"보통 올림픽 선수촌 침대는 올림픽이 끝나면 버려져요. 1~2만 명의 선수·관계자가 선수촌에 머무르면 쓰레기도 그만큼 나오는 것. 이에 재활용이 쉬운 종이 소재 침대를 도입해본 건데요. 몇몇 선수는 침대가 튼튼하지 않다고 지적했지만, 한 아일랜드 선수는 골판지 침대 위에서 점프하는 영상을 올리며 “격렬한 움직임에 무너진다는 건 가짜 뉴스”라고 했어요. 올림픽 조직위원회는 이 침대가 약 200kg까지 견딜 수 있다고 밝혔고요.",http://news.kmib.co.kr/article/view.asp?arcid=0016076834
102,환경,도쿄올림픽 친환경 시도와 논란,2021/07/26,"이번 올림픽의 목표 중 하나가 ‘친환경’이거든요 🌏. 옛날엔 올림픽으로 경제 살리기에만 집중했다면, 2000 시드니올림픽부턴 친환경도 새로운 화두로 떠올랐어요. 이 외에도 이번 도쿄올림픽은 ‘역대 가장 친환경적인 올림픽’이라고 불릴 만큼 여러 시도를 하고 있는데요:",https://news.joins.com/article/24113157
102,환경,도쿄올림픽 친환경 시도와 논란,2021/07/26,"시도는 좋지만, ‘그린워시’라는 말도 나와요. 그린워시는 실제로는 환경에 좋지 않지만 마치 친환경적인 것처럼 보이게 만드는 것을 말하는데요. 지난 2018년에는 도쿄올림픽 주경기장 건설에 말레이시아·인도네시아 열대우림 나무가 사용됐다는 게 밝혀져 논란이 됐어요. 환경단체는 “친환경 올림픽 하겠다더니, 열대우림에 큰 피해 주고 멸종위기 동물 서식지도 파괴했어!”라며 비판했고요.",https://www.npr.org/2021/07/06/1013496227/theres-work-to-do-if-the-olympics-actually-wants-to-be-environmentally-friendly
103,환경,제주 제2공항 백지화 논란✈️,2021/07/23,"하나뿐인 제주도 공항, 이용하는 사람에 비해 공항이 너무 작다는 얘기가 많았는데요. 금방이라도 제2공항 생기는 듯하더니 갑자기 없던 일이 될지도 모르겠다고.",https://www.khan.co.kr/national/national-general/article/202107202100005/
103,환경,제주 제2공항 백지화 논란✈️,2021/07/23,"30년 전부터요. 그 후로도 제주도를 찾는 사람이 점점 많아지며 40년 전 지어진 공항이 관광객을 감당하기 어렵다는 지적이 계속됐어요(2019년에는 연간 약 3100만 명이 이용). 확장 공사를 했는데도 충분하지 않다고 봤고요. 결국 정부는 2015년 서귀포 성산에 제2공항을 만들겠다고 발표했어요: “2025년에 문을 열고, 2055년까지 연간 약 1900만 명을 수용하겠다!” 그런데 이번에 환경부가 안 된다고 한 거예요.",http://jeju.news1.kr/news/articleView.html?idxno=34913
